Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0805,6,80nF,
"F1, F2, F3",0805,3,50mA,
J1,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",1,Power Terminal 1,
J2,"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",1,Data Output Terminal,
J3,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",1,Power Terminal 2,
J4,CONN_1751189,1,Sensor 1,
J5,CONN_1751189,1,Sensor 2,
J6,CONN_1751189,1,Sensor 3,
"JP1, JP5, JP9",PinHeader_1x03_P2.54mm_Vertical,3,GND OR POWER,
"JP10, JP2, JP6",PinHeader_1x03_P2.54mm_Vertical,3,RESISTOR JUMPER 2,
"JP11, JP3, JP7",4-Way-Jumper,3,Power_Jumpers,
"JP12, JP4, JP8",PinHeader_1x03_P2.54mm_Vertical,3,RESISTOR JUMPER 1,
"R1, R13, R15, R3, R5, R9",0805,6,100R 1%,
"R10, R14, R16, R2, R4, R6",0805,6,10k 1%,
"R11, R12, R17, R18, R7, R8",0805,6,100R,
