Designator,Mid X,Mid Y,Rotation,Layer
C1,180.5725,-77.5716,0.0,bottom
C2,180.9155,-62.1184,0.0,bottom
C3,180.4825,-82.4384,0.0,bottom
C4,180.8669,-57.113,0.0,bottom
C5,180.6603,-72.4054,0.0,bottom
C6,180.7619,-67.5032,0.0,bottom
F1,154.1716,-74.558199,180.0,bottom
F2,153.8504,-86.6678,180.0,bottom
F3,153.9748,-61.4172,180.0,bottom
J1,139.8016,-86.2328,0.0,top
J2,186.6826,-69.9162,90.0,top
J3,139.8016,-53.7212,180.0,top
J4,120.1182,-70.5358,90.0,top
J5,133.2798,-70.5358,90.0,top
J6,146.6716,-70.5358,90.0,top
JP1,164.338,-70.5358,180.0,top
JP10,174.6294,-67.5032,90.0,top
JP11,159.0127,-58.5606,90.0,top
JP12,174.6294,-72.5054,90.0,top
JP2,174.6294,-62.2684,90.0,top
JP3,159.2831,-70.5358,90.0,top
JP4,174.6294,-77.5616,90.0,top
JP5,163.9062,-84.3684,180.0,top
JP6,174.6294,-57.013,90.0,top
JP7,158.8729,-83.9478,90.0,top
JP8,174.6294,-82.2884,90.0,top
JP9,163.957,-58.943,180.0,top
R1,179.6676,-54.4714,180.0,bottom
R10,168.3184,-82.263,0.0,bottom
R11,179.9706,-82.286,90.0,top
R12,180.0468,-56.9528,90.0,top
R13,179.6994,-64.8532,180.0,bottom
R14,168.6994,-67.6032,0.0,bottom
R15,179.6944,-69.9338,180.0,bottom
R16,168.5978,-72.5054,0.0,bottom
R17,179.996,-67.4778,90.0,top
R18,179.996,-72.507,90.0,top
R2,168.8338,-57.1246,0.0,bottom
R3,179.557,-59.4744,180.0,bottom
R4,168.5961,-62.286201,0.0,bottom
R5,179.16,-75.0216,180.0,bottom
R6,168.5135,-77.4962,0.0,bottom
R7,180.0214,-62.2454,90.0,top
R8,179.996,-77.5616,90.0,top
R9,179.3494,-79.7714,180.0,bottom
