Designator,Mid X,Mid Y,Rotation,Layer
C1,147.574,-50.1865,90.0,bottom
C10,113.4325,-47.752,180.0,top
C11,134.366,-52.197,90.0,top
C12,131.191,-49.53,0.0,top
C13,123.317,-48.3655,270.0,bottom
C14,132.871,-48.26,90.0,bottom
C15,134.985,-48.26,90.0,bottom
C16,51.054,-61.7385,90.0,bottom
C17,51.054,-65.8075,270.0,bottom
C18,62.7595,-87.122,180.0,bottom
C19,61.976,-91.9695,270.0,bottom
C20,84.3495,-87.122,180.0,bottom
C21,83.566,-91.948,270.0,bottom
C22,73.406,-61.976,90.0,bottom
C23,73.406,-66.04,270.0,bottom
C24,50.8,-81.026,0.0,bottom
C25,58.674,-81.026,180.0,bottom
C26,86.614,-75.692,0.0,top
C27,82.042,-75.311,0.0,top
C28,77.4485,-75.692,0.0,top
C29,72.6225,-75.692,0.0,top
C30,72.8765,-84.328,0.0,top
C31,77.5755,-84.328,0.0,top
C32,82.1475,-84.328,0.0,top
C33,86.8465,-84.328,0.0,top
C34,93.8315,-64.008,180.0,bottom
C35,98.552,-72.517,90.0,bottom
C36,104.902,-71.374,90.0,bottom
C37,103.378,-64.77,90.0,bottom
C38,125.6792,-103.7336,270.0,bottom
C39,119.3292,-103.7336,270.0,bottom
C4,138.176,-60.96,90.0,top
C40,116.332,-63.754,180.0,top
C41,114.2785,-63.754,180.0,bottom
C42,128.524,-85.09,0.0,bottom
C43,126.2165,-67.818,0.0,bottom
C44,114.3,-74.93,90.0,bottom
C45,129.286,-79.502,270.0,bottom
C46,129.286,-69.1095,270.0,bottom
C47,129.286,-74.6975,270.0,bottom
C48,121.6875,-67.818,180.0,bottom
C49,112.014,-74.93,90.0,bottom
C5,133.985,-57.658,270.0,top
C50,112.014,-80.264,90.0,bottom
C51,112.014,-84.328,90.0,bottom
C52,117.0725,-85.344,0.0,bottom
C53,115.0405,-67.818,0.0,bottom
C54,112.014,-69.596,90.0,bottom
C55,136.398,-78.232,0.0,top
C56,108.839,-88.011,270.0,top
C57,132.842,-88.265,0.0,top
C58,149.606,-78.232,270.0,top
C59,153.4605,-76.708,180.0,top
C6,108.204,-48.895,180.0,top
C60,153.4605,-74.676,180.0,top
C61,153.4605,-72.39,180.0,top
C62,139.954,-99.314,180.0,top
C63,139.9755,-97.028,180.0,top
C64,139.9755,-94.742,180.0,top
C65,145.161,-103.8645,270.0,bottom
C66,140.716,-98.5305,90.0,bottom
C67,94.869,-68.326,270.0,bottom
C68,101.6,-71.501,0.0,top
C69,96.393,-72.517,270.0,bottom
C7,121.412,-55.6475,270.0,top
C70,63.373,-70.866,0.0,bottom
C71,92.329,-79.121,0.0,top
C8,119.126,-55.6475,270.0,top
C9,114.554,-56.769,90.0,bottom
D1,130.429,-59.69,0.0,top
D2,125.222,-62.23,180.0,top
D3,125.222,-59.69,180.0,top
D4,130.429,-62.23,0.0,top
D5,143.764,-55.626,180.0,bottom
D6,122.936,-52.07,0.0,top
F1,153.727,-60.128,270.0,top
IC1,127.0,-48.514,180.0,top
IC10,99.146,-68.58,180.0,bottom
IC2,56.844842,-89.255,180.0,bottom
IC3,56.244,-63.369,0.0,bottom
IC4,78.232,-89.408,180.0,bottom
IC5,78.486,-63.5,0.0,bottom
IC6,58.42,-75.946,270.0,bottom
IC7,52.07,-75.946,270.0,bottom
IC8,66.548,-75.946,270.0,bottom
IC9,93.117,-78.342,270.0,bottom
J1,141.473,-51.867,180.0,top
J10,132.058,-103.124,180.0,bottom
J11,102.108,-57.15,0.0,top
J2,143.017,-77.47,270.0,top
J3,66.04,-95.25,0.0,top
J4,87.884,-95.25,0.0,top
J5,66.04,-57.15,0.0,top
J6,87.884,-57.15,0.0,top
J7,102.108,-95.25,180.0,top
J8,124.4092,-98.3996,0.0,top
J9,140.447,-104.648,90.0,top
L1,129.032,-54.991,180.0,top
L2,150.368,-89.408,270.0,top
Q1,144.9905,-61.214,180.0,top
Q2,141.224,-60.452,90.0,top
R1,131.445,-59.69,180.0,bottom
R10,136.652,-64.262,0.0,top
R11,136.668,-66.294,180.0,top
R12,144.78,-73.644,270.0,top
R13,107.315,-52.324,0.0,bottom
R14,115.586,-49.657,180.0,bottom
R15,119.38,-51.451,270.0,bottom
R16,122.428,-47.625,0.0,top
R17,109.22,-65.167,270.0,top
R18,119.126,-55.6475,270.0,bottom
R19,112.395,-56.769,90.0,bottom
R2,126.704,-63.357,270.0,bottom
R20,122.428,-49.657,180.0,top
R21,133.731,-51.308,0.0,bottom
R22,131.699,-47.244,180.0,top
R23,107.442,-99.314,270.0,top
R24,107.442,-95.504,270.0,top
R25,107.442,-54.626,90.0,top
R26,109.474,-58.436,90.0,top
R27,110.49,-99.314,270.0,top
R28,110.49,-95.504,270.0,top
R29,107.442,-58.436,90.0,top
R3,126.746,-58.674,90.0,bottom
R30,109.474,-54.626,90.0,top
R32,78.409,-69.436,180.0,bottom
R33,82.846,-69.3555,180.0,bottom
R34,87.545,-69.3555,180.0,bottom
R35,73.882,-77.978,180.0,bottom
R36,78.47,-77.978,180.0,bottom
R37,83.153,-77.978,180.0,bottom
R38,87.741,-77.978,180.0,bottom
R39,121.682,-96.266,0.0,bottom
R4,129.032,-63.373,270.0,bottom
R40,121.682,-98.298,180.0,bottom
R41,147.32,-99.33,270.0,top
R42,140.97,-91.694,90.0,top
R43,140.97,-87.646,90.0,top
R44,142.748,-98.552,90.0,bottom
R45,91.948,-69.342,180.0,bottom
R46,91.964,-67.31,0.0,bottom
R47,138.43,-73.676,90.0,top
R5,142.494,-73.66,90.0,top
R6,140.462,-73.644,270.0,top
R7,137.668,-69.342,90.0,top
R8,120.396,-70.866,0.0,bottom
R9,136.017,-60.96,270.0,top
RN1,87.5515,-66.294,180.0,bottom
RN2,92.009,-72.3415,270.0,bottom
TP1,155.448,-68.58,0.0,top
TP2,116.967,-59.944,0.0,top
TP3,120.65,-59.944,0.0,top
TP5,52.578,-56.896,0.0,top
TP6,48.768,-56.896,0.0,top
U1,142.371,-67.2415,180.0,top
U10,83.112,-82.202,90.0,bottom
U11,87.762,-82.202,90.0,bottom
U12,99.06,-64.77,0.0,bottom
U13,102.235,-84.963,270.0,bottom
U14,122.4987,-103.6676,180.0,bottom
U15,138.303,-82.296,270.0,top
U16,120.65,-76.4595,180.0,top
U17,153.228,-79.8885,270.0,top
U18,145.542,-99.314,90.0,bottom
U2,114.7905,-52.0875,0.0,top
U3,107.173001,-49.19345,270.0,bottom
U4,73.574,-73.5795,90.0,bottom
U5,78.359,-73.66,90.0,bottom
U6,82.874,-73.5795,90.0,bottom
U7,87.524,-73.5795,90.0,bottom
U8,73.812,-82.202,90.0,bottom
U9,78.462,-82.202,90.0,bottom
